episode_id,episode_len,episode_depth
0,17,1
1,14,1
2,4,1
3,54,1
4,24,1
5,3,2
6,11,1
7,4,1
8,4,1
9,8,1
10,16,1
11,70,1
12,7,2
13,18,2
14,14,2
15,5,1
16,41,1
17,11,1
18,3,1
19,13,1
20,10,1
21,25,1
22,3,1
23,7,1
24,17,1
25,10,2
