episode_id,episode_len,episode_depth
0,3,1
1,10,1
2,9,1
3,5,1
4,34,1
5,17,2
6,4,1
7,8,1
8,22,1
9,3,2
10,3,1
11,22,1
12,13,1
13,31,1
14,6,2
15,134,1
16,9,2
17,52,2
18,33,3
19,3,2
20,14,2
21,3,1
22,21,1
23,6,2
24,36,1
25,6,2
26,8,1
27,55,1
28,18,2
29,8,2
30,3,3
31,5,2
32,7,1
33,15,1
34,5,1
35,17,1
36,8,1
37,8,1
38,8,1
39,11,1
40,11,1
41,5,1
42,83,1
43,4,2
44,12,2
45,5,2
46,2,2
47,2,2
48,13,2
49,7,1
50,16,1
51,1,2
52,20,1
53,10,2
54,2,2
