episode_id,episode_len,episode_depth
0,4,1
1,4,1
2,3,1
3,9,1
4,24,1
5,12,1
6,3,1
7,2,1
8,8,1
9,14,1
10,2,1
11,2,1
12,20,1
13,4,1
14,8,1
15,7,1
16,7,1
17,7,1
