episode_id,episode_len,episode_depth
0,33,1
1,5,2
2,8,2
3,17,1
4,11,1
5,78,1
6,5,2
7,52,2
8,7,3
9,8,3
10,5,1
11,12,1
12,3,2
13,3,1
14,4,1
15,5,1
16,14,1
17,24,1
18,6,2
19,3,1
20,5,1
21,8,1
22,3,1
23,3,1
24,7,1
25,1,1
26,21,1
27,2,1
28,6,1
29,2,1
30,4,1
31,7,1
32,22,1
33,11,2
34,25,1
35,7,2
