episode_id,episode_len,episode_depth
0,3,1
1,4,1
2,6,1
3,3,2
4,7,1
5,4,2
6,5,1
7,10,1
8,4,1
9,6,1
10,5,1
11,1,2
12,4,1
13,3,1
14,8,1
15,4,1
16,6,1
