episode_id,episode_len,episode_depth
0,1,1
1,3,1
2,8,1
3,8,1
4,8,1
5,2,1
6,4,1
7,24,1
8,10,2
9,10,1
10,4,2
11,3,1
12,5,1
13,8,1
14,7,1
15,3,1
16,8,1
17,9,1
18,18,1
19,6,1
20,14,1
21,3,1
22,4,1
23,11,1
24,7,2
25,4,1
