episode_id,episode_len,episode_depth
0,8,1
1,3,1
2,9,1
3,4,1
4,9,1
5,7,1
6,9,1
7,3,2
8,5,1
9,15,1
10,2,2
11,3,2
12,9,1
13,2,2
14,4,1
15,40,1
16,4,2
17,10,2
18,8,2
19,3,2
20,7,1
21,3,2
22,12,1
23,4,2
24,3,1
25,5,1
