episode_id,episode_len,episode_depth
0,7,1
1,7,1
2,9,1
3,6,2
4,4,1
5,44,1
6,3,2
7,5,2
8,31,2
9,7,3
10,9,1
11,3,2
12,24,1
13,70,1
