episode_id,episode_len,episode_depth
0,7,1
1,6,1
2,3,2
3,2,1
4,5,1
5,2,1
6,7,1
7,3,1
8,26,1
9,11,2
10,12,1
11,8,2
12,14,1
13,4,2
14,4,1
15,1,1
