episode_id,episode_len,episode_depth
0,27,1
1,9,2
2,8,2
3,4,1
4,10,1
5,3,2
6,42,1
7,2,2
8,22,2
9,12,1
10,32,1
11,6,2
12,7,1
13,8,1
14,34,1
15,2,2
16,9,1
17,9,1
18,18,1
19,40,1
20,5,2
21,4,2
22,13,1
23,20,1
24,4,1
25,8,1
26,4,1
